GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "00000","United States", ,SARPP,1,"...","RPPs: All items ","Index",100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000
 "01000","Alabama",5,SARPP,1,"...","RPPs: All items ","Index",88.901,87.786,89.783,90.011,90.559,90.324,90.175,89.741,90.609,90.065,87.378,88.303,87.569,88.062,88.021,89.097,88.823
 "02000","Alaska",8,SARPP,1,"...","RPPs: All items ","Index",103.878,106.147,103.099,103.274,102.548,102.052,102.386,103.287,104.073,104.833,104.565,103.041,101.339,104.907,102.101,103.297,102.359
 "04000","Arizona",6,SARPP,1,"...","RPPs: All items ","Index",102.504,102.865,100.558,99.083,98.050,98.441,97.944,97.865,98.622,97.915,97.381,97.779,99.203,96.600,99.992,100.742,100.677
 "05000","Arkansas",5,SARPP,1,"...","RPPs: All items ","Index",88.096,86.364,88.561,89.383,89.394,89.493,89.395,89.013,89.298,88.561,87.144,87.744,88.165,88.902,86.913,86.810,86.937
 "06000","California",8,SARPP,1,"...","RPPs: All items ","Index",111.220,110.696,109.703,109.503,109.666,109.667,109.926,110.685,109.956,110.998,111.882,111.134,111.944,111.918,112.591,112.195,110.720
 "08000","Colorado",7,SARPP,1,"...","RPPs: All items ","Index",103.315,102.378,100.590,103.384,103.138,103.099,103.068,103.048,102.716,102.946,100.290,102.491,103.774,102.765,102.260,101.856,103.052
 "09000","Connecticut",1,SARPP,1,"...","RPPs: All items ","Index",110.451,110.720,106.999,107.834,107.595,107.731,107.015,107.536,107.477,107.228,104.015,103.915,105.119,102.886,106.362,104.201,103.610
 "10000","Delaware",2,SARPP,1,"...","RPPs: All items ","Index",100.753,102.077,101.545,100.441,99.566,98.624,99.708,97.913,98.478,98.499,99.252,98.824,96.791,97.425,98.007,98.759,99.808
 "11000","District of Columbia",2,SARPP,1,"...","RPPs: All items ","Index",112.368,113.017,114.226,114.058,111.644,113.521,114.242,113.321,112.415,110.146,111.317,109.228,110.881,111.572,112.594,110.713,109.901
 "12000","Florida",5,SARPP,1,"...","RPPs: All items ","Index",101.668,100.491,100.392,100.846,101.072,100.742,100.894,101.290,101.087,100.871,100.318,99.645,100.604,101.389,102.284,103.636,103.414
 "13000","Georgia",5,SARPP,1,"...","RPPs: All items ","Index",94.254,91.854,94.574,93.666,95.298,94.868,94.962,94.717,94.991,95.275,94.832,94.392,94.478,95.713,95.678,96.494,96.293
 "15000","Hawaii",8,SARPP,1,"...","RPPs: All items ","Index",109.773,112.715,109.560,109.940,108.393,112.319,110.596,111.504,109.901,110.466,110.929,111.767,113.279,112.564,111.148,109.703,109.951
 "16000","Idaho",7,SARPP,1,"...","RPPs: All items ","Index",94.953,94.843,93.200,94.115,93.477,93.681,93.691,94.281,92.998,94.518,91.736,92.437,91.023,91.563,91.802,92.236,95.494
 "17000","Illinois",3,SARPP,1,"...","RPPs: All items ","Index",100.316,101.607,101.778,101.971,100.947,100.175,99.697,98.903,99.498,100.254,100.416,99.453,100.315,101.321,101.205,98.752,99.958
 "18000","Indiana",3,SARPP,1,"...","RPPs: All items ","Index",91.943,92.555,93.022,92.380,92.751,92.881,92.638,91.415,91.346,90.875,92.802,92.829,91.763,92.579,91.875,92.097,93.329
 "19000","Iowa",4,SARPP,1,"...","RPPs: All items ","Index",87.351,89.750,91.139,89.832,90.793,90.853,90.970,89.528,89.439,89.213,91.797,91.804,90.610,89.770,88.351,88.769,87.762
 "20000","Kansas",4,SARPP,1,"...","RPPs: All items ","Index",89.864,91.846,92.991,92.772,93.303,92.606,93.138,92.814,92.059,91.555,92.436,92.734,92.251,91.270,89.609,89.908,90.068
 "21000","Kentucky",5,SARPP,1,"...","RPPs: All items ","Index",89.840,88.539,90.433,90.458,90.687,90.892,91.063,90.733,90.676,89.985,89.071,89.597,89.078,89.246,89.402,89.890,90.159
 "22000","Louisiana",5,SARPP,1,"...","RPPs: All items ","Index",91.468,90.180,92.198,92.729,92.908,92.927,93.401,92.834,93.600,92.364,90.755,91.159,91.141,91.373,90.489,88.700,88.207
 "23000","Maine",1,SARPP,1,"...","RPPs: All items ","Index",98.443,98.663,97.509,96.111,96.955,98.329,92.521,95.879,97.216,97.559,97.649,95.607,97.888,97.343,100.746,97.964,97.050
 "24000","Maryland",2,SARPP,1,"...","RPPs: All items ","Index",108.810,110.406,108.418,109.342,107.418,108.527,107.879,107.913,107.222,106.750,106.311,105.087,106.396,106.099,104.890,104.602,104.959
 "25000","Massachusetts",1,SARPP,1,"...","RPPs: All items ","Index",106.047,105.455,104.772,104.747,104.488,103.298,104.533,105.086,108.161,107.406,107.422,107.151,109.101,106.698,109.431,107.675,105.757
 "26000","Michigan",3,SARPP,1,"...","RPPs: All items ","Index",95.855,96.044,96.187,95.188,94.979,95.192,95.473,93.713,93.637,92.727,94.518,95.359,94.431,94.281,93.589,94.296,96.217
 "27000","Minnesota",4,SARPP,1,"...","RPPs: All items ","Index",96.793,98.701,97.587,97.237,97.385,97.458,98.307,97.678,97.192,96.739,99.599,98.759,97.766,98.396,97.457,98.302,98.621
 "28000","Mississippi",5,SARPP,1,"...","RPPs: All items ","Index",88.077,85.639,88.305,88.892,88.571,88.902,88.960,88.264,88.489,87.737,86.157,86.527,85.583,86.222,87.336,86.792,86.953
 "29000","Missouri",4,SARPP,1,"...","RPPs: All items ","Index",88.434,90.487,93.105,92.499,92.436,92.807,93.351,92.262,91.676,91.735,91.806,92.520,92.162,92.012,90.991,91.104,90.817
 "30000","Montana",7,SARPP,1,"...","RPPs: All items ","Index",94.079,93.196,92.445,94.232,93.187,92.880,95.152,94.974,93.862,94.202,92.401,94.240,91.972,91.328,90.179,91.014,94.645
 "31000","Nebraska",4,SARPP,1,"...","RPPs: All items ","Index",89.575,90.645,92.061,91.377,92.284,91.812,91.757,91.166,90.767,89.807,91.838,92.531,92.808,91.956,89.844,90.288,90.103
 "32000","Nevada",8,SARPP,1,"...","RPPs: All items ","Index",101.230,103.054,100.780,102.211,101.586,99.840,99.184,98.592,97.191,99.854,96.226,98.838,97.191,95.356,96.339,97.861,99.979
 "33000","New Hampshire",1,SARPP,1,"...","RPPs: All items ","Index",106.112,105.150,104.026,103.462,102.921,102.790,102.091,103.980,105.096,105.780,103.549,104.001,105.269,102.568,107.847,105.393,104.165
 "34000","New Jersey",2,SARPP,1,"...","RPPs: All items ","Index",107.565,110.969,108.796,109.221,109.274,108.830,109.032,108.973,109.059,109.298,111.019,111.188,110.722,109.157,108.759,108.941,108.805
 "35000","New Mexico",6,SARPP,1,"...","RPPs: All items ","Index",95.110,95.959,94.510,97.078,96.470,95.574,95.471,95.396,94.460,95.721,91.656,92.969,91.805,89.735,90.929,90.981,92.212
 "36000","New York",2,SARPP,1,"...","RPPs: All items ","Index",111.358,110.997,109.744,110.838,109.623,109.724,108.853,109.583,110.086,109.988,109.507,109.426,110.130,109.564,107.557,107.842,107.921
 "37000","North Carolina",5,SARPP,1,"...","RPPs: All items ","Index",92.449,91.262,92.899,93.572,93.509,93.732,93.826,93.588,93.801,93.025,92.894,91.866,91.345,93.734,94.013,94.399,94.326
 "38000","North Dakota",4,SARPP,1,"...","RPPs: All items ","Index",85.891,87.852,89.083,89.549,91.997,92.225,92.450,91.063,91.588,88.664,91.168,93.191,91.816,90.962,88.703,88.174,88.959
 "39000","Ohio",3,SARPP,1,"...","RPPs: All items ","Index",92.531,93.493,93.105,92.191,93.014,93.260,93.019,92.218,92.333,91.931,92.985,93.289,91.935,92.223,91.506,91.903,92.774
 "40000","Oklahoma",6,SARPP,1,"...","RPPs: All items ","Index",89.536,88.457,90.562,90.935,91.232,91.527,91.825,91.369,91.514,90.881,89.646,89.332,89.630,89.883,88.807,88.680,87.843
 "41000","Oregon",8,SARPP,1,"...","RPPs: All items ","Index",97.802,100.273,99.430,99.789,101.125,100.175,99.745,101.119,99.593,101.474,104.657,103.811,103.243,103.150,106.612,104.812,103.361
 "42000","Pennsylvania",2,SARPP,1,"...","RPPs: All items ","Index",99.153,99.488,98.940,98.437,98.003,97.836,97.207,98.147,97.767,99.102,98.151,97.979,97.717,96.145,96.256,97.400,97.572
 "44000","Rhode Island",1,SARPP,1,"...","RPPs: All items ","Index",103.603,103.935,101.802,101.111,99.842,101.446,100.260,102.014,101.590,102.403,102.033,102.390,101.771,102.190,104.453,102.065,102.280
 "45000","South Carolina",5,SARPP,1,"...","RPPs: All items ","Index",91.953,90.998,92.664,93.183,93.392,93.299,93.231,93.320,93.636,92.840,92.244,91.490,90.873,93.610,93.342,93.477,93.749
 "46000","South Dakota",4,SARPP,1,"...","RPPs: All items ","Index",85.018,86.061,88.807,87.272,90.336,90.181,89.357,87.799,87.282,87.223,91.206,91.818,91.320,90.105,87.851,88.149,88.586
 "47000","Tennessee",5,SARPP,1,"...","RPPs: All items ","Index",91.697,90.495,92.356,92.890,93.405,92.994,92.785,92.812,93.810,93.040,89.649,91.262,90.502,90.580,91.800,92.094,91.870
 "48000","Texas",6,SARPP,1,"...","RPPs: All items ","Index",97.068,96.717,97.665,96.986,97.714,98.134,98.437,98.291,98.078,97.435,97.805,98.507,98.759,98.402,97.411,97.140,97.057
 "49000","Utah",7,SARPP,1,"...","RPPs: All items ","Index",96.978,100.037,97.291,99.813,99.412,98.587,97.937,97.636,97.091,98.721,96.018,97.246,95.259,94.481,94.590,95.716,98.864
 "50000","Vermont",1,SARPP,1,"...","RPPs: All items ","Index",100.686,101.415,99.379,99.109,99.981,100.424,97.937,100.029,98.224,100.337,100.204,99.604,102.132,98.694,101.033,97.142,97.958
 "51000","Virginia",5,SARPP,1,"...","RPPs: All items ","Index",103.204,102.426,103.724,103.425,102.494,103.523,103.454,103.570,102.777,101.222,101.957,100.053,101.003,102.300,102.026,101.331,101.104
 "53000","Washington",8,SARPP,1,"...","RPPs: All items ","Index",104.488,104.631,102.741,103.244,102.541,102.482,103.920,104.400,105.560,107.035,107.124,107.971,107.859,108.804,110.035,108.370,107.013
 "54000","West Virginia",5,SARPP,1,"...","RPPs: All items ","Index",87.636,86.654,88.909,89.295,89.312,90.246,89.864,90.557,89.805,88.966,89.411,88.518,87.334,90.981,89.157,89.633,89.497
 "55000","Wisconsin",3,SARPP,1,"...","RPPs: All items ","Index",93.159,94.116,94.723,93.742,94.312,93.890,93.799,93.287,93.173,93.531,94.028,94.476,92.666,93.309,92.401,93.220,94.095
 "56000","Wyoming",7,SARPP,1,"...","RPPs: All items ","Index",95.291,96.618,95.473,97.618,96.265,97.347,97.404,96.941,97.747,97.146,92.372,94.107,91.836,91.440,91.767,91.551,92.691
 "00000","United States", ,SARPP,2,"..."," RPPs: Goods ","Index",99.500,99.453,99.542,99.535,99.566,99.573,99.586,99.583,99.583,99.563,99.542,99.573,99.541,99.568,99.542,99.542,99.567
 "01000","Alabama",5,SARPP,2,"..."," RPPs: Goods ","Index",95.966,93.986,96.407,95.951,95.208,96.222,96.253,95.222,96.055,95.483,92.476,94.601,94.353,93.928,94.668,94.606,96.399
 "02000","Alaska",8,SARPP,2,"..."," RPPs: Goods ","Index",105.924,105.722,104.009,103.451,101.501,100.142,99.883,104.376,107.412,107.706,103.212,100.529,101.531,109.142,105.589,103.697,106.319
 "04000","Arizona",6,SARPP,2,"..."," RPPs: Goods ","Index",102.954,106.401,100.075,98.959,98.261,97.602,97.741,98.517,97.834,97.225,95.865,96.004,100.076,95.069,98.094,97.941,95.361
 "05000","Arkansas",5,SARPP,2,"..."," RPPs: Goods ","Index",95.942,93.774,96.639,96.001,94.457,95.382,94.764,93.983,94.932,94.536,93.073,94.774,94.340,95.623,93.127,93.103,93.597
 "06000","California",8,SARPP,2,"..."," RPPs: Goods ","Index",107.413,104.687,103.023,103.597,104.095,104.288,104.339,105.536,104.385,104.466,105.508,106.179,106.661,108.144,108.415,106.766,106.098
 "08000","Colorado",7,SARPP,2,"..."," RPPs: Goods ","Index",104.436,102.119,101.267,101.609,101.351,101.018,100.171,99.748,99.775,99.531,97.572,101.582,101.994,101.776,101.153,99.179,98.727
 "09000","Connecticut",1,SARPP,2,"..."," RPPs: Goods ","Index",109.579,108.665,103.600,103.812,104.592,104.271,103.392,103.167,103.557,104.422,101.432,98.730,99.011,96.989,101.095,98.600,97.330
 "10000","Delaware",2,SARPP,2,"..."," RPPs: Goods ","Index",103.510,101.939,101.520,102.507,99.436,97.113,95.653,97.123,98.600,96.472,96.806,95.719,94.497,94.526,94.641,97.295,96.155
 "11000","District of Columbia",2,SARPP,2,"..."," RPPs: Goods ","Index",112.190,112.779,109.393,107.775,105.744,110.758,105.512,105.684,106.386,104.525,107.024,104.732,105.522,107.837,107.313,106.547,106.502
 "12000","Florida",5,SARPP,2,"..."," RPPs: Goods ","Index",98.894,96.986,97.282,97.353,98.016,98.609,98.324,97.424,97.541,98.383,97.690,96.112,97.414,98.358,98.019,98.195,98.059
 "13000","Georgia",5,SARPP,2,"..."," RPPs: Goods ","Index",94.441,95.885,96.557,96.813,97.228,97.869,97.245,97.006,97.199,97.164,97.762,96.447,96.381,96.622,97.631,97.697,98.929
 "15000","Hawaii",8,SARPP,2,"..."," RPPs: Goods ","Index",106.754,108.869,108.553,108.460,106.221,108.988,109.052,110.683,112.285,112.606,116.577,115.259,112.445,110.146,111.959,110.346,111.562
 "16000","Idaho",7,SARPP,2,"..."," RPPs: Goods ","Index",99.217,100.583,99.041,99.599,98.114,96.344,97.152,100.282,99.595,101.143,96.192,98.902,95.436,96.616,96.062,95.901,96.311
 "17000","Illinois",3,SARPP,2,"..."," RPPs: Goods ","Index",99.378,101.676,102.152,102.627,101.083,99.895,100.479,98.589,98.196,100.055,101.542,102.832,101.312,103.700,102.744,101.596,103.832
 "18000","Indiana",3,SARPP,2,"..."," RPPs: Goods ","Index",92.831,94.694,96.459,96.440,97.454,97.183,98.240,97.620,96.926,95.883,97.897,96.577,94.958,95.694,94.259,95.572,95.509
 "19000","Iowa",4,SARPP,2,"..."," RPPs: Goods ","Index",86.823,91.141,95.373,95.373,96.327,95.854,96.853,96.843,95.838,94.906,95.800,97.215,95.518,94.072,93.307,96.624,93.730
 "20000","Kansas",4,SARPP,2,"..."," RPPs: Goods ","Index",88.693,93.669,95.463,95.817,96.914,96.248,96.962,97.364,96.419,95.819,94.992,97.130,95.854,93.802,93.575,96.486,94.027
 "21000","Kentucky",5,SARPP,2,"..."," RPPs: Goods ","Index",96.326,93.475,96.599,95.412,93.952,95.005,95.094,94.150,95.350,94.645,93.291,94.861,94.321,93.959,94.057,94.538,95.967
 "22000","Louisiana",5,SARPP,2,"..."," RPPs: Goods ","Index",96.441,94.026,96.758,96.203,95.591,96.202,96.422,95.422,96.084,95.813,93.559,95.090,94.560,95.164,93.954,93.009,93.700
 "23000","Maine",1,SARPP,2,"..."," RPPs: Goods ","Index",100.212,100.661,98.082,98.277,98.970,98.386,98.156,99.321,98.938,100.180,100.940,99.401,99.503,99.227,101.092,98.331,97.171
 "24000","Maryland",2,SARPP,2,"..."," RPPs: Goods ","Index",104.777,107.811,104.027,104.817,103.616,104.634,102.746,101.972,102.398,101.884,102.428,101.166,102.426,103.513,102.876,103.249,102.524
 "25000","Massachusetts",1,SARPP,2,"..."," RPPs: Goods ","Index",98.392,97.747,99.657,101.385,101.224,100.805,103.958,102.157,103.740,103.829,102.316,103.580,105.339,105.633,107.089,100.042,98.820
 "26000","Michigan",3,SARPP,2,"..."," RPPs: Goods ","Index",95.328,97.744,98.211,98.502,98.198,98.372,98.564,97.752,97.712,97.334,98.463,96.142,95.943,94.698,93.265,95.791,95.993
 "27000","Minnesota",4,SARPP,2,"..."," RPPs: Goods ","Index",96.222,99.738,98.147,99.171,99.567,98.471,100.985,100.125,98.404,100.046,100.958,100.469,99.172,100.247,99.872,102.060,100.519
 "28000","Mississippi",5,SARPP,2,"..."," RPPs: Goods ","Index",96.017,92.946,96.568,95.381,93.408,94.648,94.155,93.449,94.386,93.817,93.095,94.907,94.641,94.228,94.176,94.443,96.219
 "29000","Missouri",4,SARPP,2,"..."," RPPs: Goods ","Index",87.385,91.534,96.458,95.279,95.829,96.793,97.630,97.376,96.286,96.021,96.012,98.152,99.031,98.469,96.709,97.300,96.299
 "30000","Montana",7,SARPP,2,"..."," RPPs: Goods ","Index",99.765,99.678,99.257,99.644,97.683,95.917,97.224,101.350,101.872,101.905,96.181,98.933,95.880,96.765,96.374,96.481,96.006
 "31000","Nebraska",4,SARPP,2,"..."," RPPs: Goods ","Index",89.501,92.406,95.476,95.513,96.461,95.911,96.980,97.115,96.175,95.104,94.616,97.155,96.049,94.580,93.861,96.547,94.101
 "32000","Nevada",8,SARPP,2,"..."," RPPs: Goods ","Index",96.146,101.493,98.105,99.415,99.615,97.536,96.409,96.031,95.204,99.586,95.695,98.786,96.387,96.758,97.089,96.828,96.271
 "33000","New Hampshire",1,SARPP,2,"..."," RPPs: Goods ","Index",98.727,98.277,98.312,99.747,99.716,99.348,101.514,101.145,101.622,101.773,101.164,100.672,101.812,102.117,104.593,100.042,98.578
 "34000","New Jersey",2,SARPP,2,"..."," RPPs: Goods ","Index",103.692,104.486,100.122,102.128,104.270,104.746,101.977,103.792,103.487,101.766,106.894,105.340,105.502,101.826,104.754,105.761,107.066
 "35000","New Mexico",6,SARPP,2,"..."," RPPs: Goods ","Index",97.716,100.604,97.710,98.650,99.107,97.562,97.105,98.406,97.973,100.796,96.247,99.274,97.038,96.839,97.711,97.417,96.144
 "36000","New York",2,SARPP,2,"..."," RPPs: Goods ","Index",112.058,109.508,108.215,107.920,108.582,107.370,107.739,108.129,107.952,108.293,106.808,105.123,105.699,101.724,104.391,105.118,107.254
 "37000","North Carolina",5,SARPP,2,"..."," RPPs: Goods ","Index",96.613,94.282,96.915,96.359,95.556,96.004,95.710,94.962,95.864,95.682,95.705,95.665,95.404,96.231,95.560,96.793,96.621
 "38000","North Dakota",4,SARPP,2,"..."," RPPs: Goods ","Index",84.975,90.035,94.872,94.861,95.650,95.604,97.361,97.317,96.031,94.650,94.036,96.573,96.400,94.199,94.057,96.996,95.701
 "39000","Ohio",3,SARPP,2,"..."," RPPs: Goods ","Index",92.250,93.962,94.441,94.721,96.238,96.956,97.217,96.660,96.145,95.314,97.307,95.844,93.876,94.460,92.352,94.152,93.670
